Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2023-04-06,17599.15,13.03,242708336,5.19786,3.305,1505.94983,6604.9,2007.91
2023-04-05,17557.05,13,248345200,5.211,3.3108,1563.48193,6605.47,2020.73
2023-04-03,17398.05,12.72,230170688,5.22257,3.4114,1525.42212,6613.18,1984.65
2023-03-31,17359.75,12.74,263889040,5.19271,3.4676,1535.72815,6214.36,1969.28
2023-03-29,17080.7,11.56,345911072,5.15914,3.5639,1572.71558,6002.15,1964.7
2023-03-28,16951.7,11.37,238840912,5.16286,3.5696,1640.59546,6013.6,1973.54
2023-03-27,16985.7,11.83,218418672,5.14314,3.5299,1691.87805,5979.89,1956.67
2023-03-24,16945.05,11.8,228038304,5.10143,3.3762,1790.96729,5705.72,1978.21
2023-03-23,17076.9,11.66,219171520,5.13371,3.4266,1857.4115,5747.21,1993.4
2023-03-22,17151.9,11.65,185700464,5.08,3.4341,1839.34375,5858.47,1970.11
2023-03-21,17107.5,11.97,246737872,5.01771,3.6094,1766.62939,5728.74,1940.07
2023-03-20,16988.4,11.7,241777408,4.94714,3.4847,1993.35071,5583.03,1978.84
2023-03-17,17100.05,11.64,408121248,4.99843,3.4286,2105.71533,5509.03,1989.25
2023-03-16,16985.6,12.28,349820608,4.96257,3.577,1901.10059,5652.03,1919.52
2023-03-15,16972.15,12.26,248188976,4.90714,3.4548,2166.2583,5602.94,1918.58
2023-03-14,17043.3,12.24,290604192,4.941,3.6892,1953.1095,5870.85,1904.01
2023-03-13,17154.3,12.14,254914656,4.86629,3.5732,2183.94849,6159.85,1913.7
2023-03-10,17412.9,11.38,235927568,5.13814,3.6987,2032.46912,6284.26,1868.26
2023-03-09,17589.6,11.99,262352064,5.15371,3.9032,1854.87695,6211.91,1831.03
2023-03-08,17754.4,12.25,267041408,5.12471,3.9913,1565.81604,6281.29,1813.8
2023-03-06,,12.21,362801088,5.008,3.9577,1522.00024,6580.34,1846.86
2023-03-03,17594.35,12.13,356169504,4.984,3.9517,1510.37781,6508.76,1856.48
2023-03-02,17321.9,11.04,310669088,4.98571,4.0556,1613.92212,6439.21,1835.87
2023-03-01,17450.9,10.9,272881408,4.98114,3.9925,1695.2981,6399.79,1836.72
2023-02-28,17303.95,10.73,420881248,4.971,3.92,1710.50305,6366.87,1826.92
2023-02-27,17392.7,11.1,246448848,4.96243,3.9141,1732.58594,6258.81,1817.14
2023-02-24,17465.8,11.08,209406368,4.95343,3.9432,1798.37817,6333.74,1811.04
2023-02-23,17511.25,11.23,240807920,4.95786,3.8768,1747.67554,6232.6,1822.28
2023-02-22,17554.3,11.23,204021984,4.92814,3.9156,1845.98645,6124.3,1825.39
2023-02-21,17826.7,10.26,198248208,4.92214,3.9525,1895.15222,6311.1,1835.09
2023-02-20,17844.6,10.71,174563232,4.90943,#N/A,1756.15625,#N/A,1841.38
2023-02-17,17944.2,11.36,208053936,4.91529,3.8148,1656.82312,6317.78,1842.36
2023-02-16,18035.85,11.48,230246176,4.90086,3.8608,1667.94812,6490.69,1836.36
2023-02-15,18015.85,11.51,229273792,4.87657,3.8049,1508.78772,6504.42,1836.01
2023-02-14,17929.85,11.82,244512944,4.87157,3.7435,1568.62231,6558.19,1854.31
2023-02-13,17770.9,11.48,231276480,4.86357,3.7016,1680.76538,6622.25,1853.49
2023-02-10,17856.5,11.54,231991840,4.86943,3.732,1694.48462,6579.85,1865.57
2023-02-09,17893.45,11.6,260854048,4.87257,3.6579,1707.83984,6437.18,1861.78
2023-02-08,17871.7,11.66,290994272,4.85929,3.6098,1622.28796,6485.02,1875.49
